game_id,game_name,game_image_url,game_web_link,Release Date,complete_main_story_in_hours,complete_main_story_plus_extras_in_hours,complete_100%_of_game_in_hours,Sources,Last Update
9371,Super Mario Bros.,https://howlongtobeat.com/games/250px-Super_Mario_Bros._box.png,https://howlongtobeat.com/game.php?id=9371,13/09/1985,2,2,2,Nintendo & https://howlongtobeat.com/,08/10/2021
9372,Super Mario Bros. 2,https://howlongtobeat.com/games/250px-Super_Mario_Bros_2.jpg,https://howlongtobeat.com/game.php?id=9372,01/09/1988,3,3.5,4,Nintendo & https://howlongtobeat.com/,08/10/2021
9380,Super Mario Land,https://howlongtobeat.com/games/250px-Supermariolandboxart.jpg,https://howlongtobeat.com/game.php?id=9380,31/07/1989,1,1.5,1.5,Nintendo & https://howlongtobeat.com/,08/10/2021
9373,Super Mario Bros. 3,https://howlongtobeat.com/games/250px-Super_Mario_Bros._3_coverart.png,https://howlongtobeat.com/game.php?id=9373,12/02/1990,5,6,6,Nintendo & https://howlongtobeat.com/,08/10/2021
9387,Super Mario World,https://howlongtobeat.com/games/250px-Super_Mario_World_Coverart.png,https://howlongtobeat.com/game.php?id=9387,13/11/1991,5,8,10,Nintendo & https://howlongtobeat.com/,08/10/2021
9381,Super Mario Land 2: 6 Golden Coins,https://howlongtobeat.com/games/250px-Super_Mario_Land_2_box_art.jpg,https://howlongtobeat.com/game.php?id=9381,21/10/1992,2.5,3,4,Nintendo & https://howlongtobeat.com/,08/10/2021
9364,Super Mario 64,https://howlongtobeat.com/games/Super_Mario_64_box_cover.jpg,https://howlongtobeat.com/game.php?id=9364,23/06/1996,12,17,20,Nintendo & https://howlongtobeat.com/,08/10/2021
9386,Super Mario Sunshine,https://howlongtobeat.com/games/250px-Super_mario_sunshine.jpg,https://howlongtobeat.com/game.php?id=9386,19/07/2002,15,20.5,29.5,Nintendo & https://howlongtobeat.com/,08/10/2021
6534,New Super Mario Bros.,https://howlongtobeat.com/games/250px-NewSuperMarioBrothers.jpg,https://howlongtobeat.com/game.php?id=6534,15/05/2006,7,11,17,Nintendo & https://howlongtobeat.com/,08/10/2021
9377,Super Mario Galaxy,https://howlongtobeat.com/games/250px-SuperMarioGalaxy.jpg,https://howlongtobeat.com/game.php?id=9377,01/11/2007,13.5,22.5,37.5,Nintendo & https://howlongtobeat.com/,08/10/2021
6537,New Super Mario Bros. Wii,https://howlongtobeat.com/games/250px-NewSuperMarioBrosWiiBoxart.png,https://howlongtobeat.com/game.php?id=6537,15/11/2009,9,13.5,20,Nintendo & https://howlongtobeat.com/,08/10/2021
9378,Super Mario Galaxy 2,https://howlongtobeat.com/games/Super_Mario_Galaxy_2_Box_Art.jpg,https://howlongtobeat.com/game.php?id=9378,23/05/2010,13,21.5,34,Nintendo & https://howlongtobeat.com/,08/10/2021
9361,Super Mario 3D Land,https://howlongtobeat.com/games/250px-Super-Mario-3D-Land-Logo.jpg,https://howlongtobeat.com/game.php?id=9361,03/11/2011,7,12.5,22.5,Nintendo & https://howlongtobeat.com/,08/10/2021
6535,New Super Mario Bros. 2,https://howlongtobeat.com/games/250px-Newsupermariobros2boxart.jpg,https://howlongtobeat.com/game.php?id=6535,28/07/2012,5.5,11,20,Nintendo & https://howlongtobeat.com/,08/10/2021
6536,New Super Mario Bros. U,https://howlongtobeat.com/games/New_Super_Mario_Bros_U_box_art.png,https://howlongtobeat.com/game.php?id=6536,18/11/2012,9.5,15.5,25,Nintendo & https://howlongtobeat.com/,08/10/2021
9362,Super Mario 3D World,https://howlongtobeat.com/games/Super_Mario_3D_World_box_art.jpg,https://howlongtobeat.com/game.php?id=9362,21/11/2013,10.5,19,38,Nintendo & https://howlongtobeat.com/,08/10/2021
19215,Super Mario Maker,https://howlongtobeat.com/games/MarioMakerImage.jpg,https://howlongtobeat.com/game.php?id=19215,11/09/2015,5,33.5,160,Nintendo & https://howlongtobeat.com/,08/10/2021
42171,Super Mario Run,https://howlongtobeat.com/games/42171_Super_Mario_Run.jpg,https://howlongtobeat.com/game.php?id=42171,15/12/2016,2,5.5,15.5,Nintendo & https://howlongtobeat.com/,08/10/2021
42833,Super Mario Odyssey,https://howlongtobeat.com/games/42833_Super_Mario_Odyssey.jpg,https://howlongtobeat.com/game.php?id=42833,27/10/2017,12.5,27,61.5,Nintendo & https://howlongtobeat.com/,08/10/2021
63660,New Super Mario Bros. U Deluxe,https://howlongtobeat.com/games/63660_New_Super_Mario_Bros_U_Deluxe.jpg,https://howlongtobeat.com/game.php?id=63660,11/01/2019,9,17.5,27.5,Nintendo & https://howlongtobeat.com/,08/10/2021
65004,Super Mario Maker 2,https://howlongtobeat.com/games/65004_Super_Mario_Maker_2.jpg,https://howlongtobeat.com/game.php?id=65004,28/06/2019,7.5,13,15.5,Nintendo & https://howlongtobeat.com/,08/10/2021
82771,Super Mario 3D World + Bowser's Fury,https://howlongtobeat.com/games/82771_Super_Mario_3D_World__Bowsers_Fury.jpg,https://howlongtobeat.com/game.php?id=82771,12/02/2021,9.5,15.5,27.5,Nintendo & https://howlongtobeat.com/,08/10/2021
